playerId,name,fullName,nationality,role,battingHand,playerJsonBowlingType,playerJsonBowlingHand,playerJsonBowlingStyle,metadataFoundForSameId,metadataName,metadataCountry,metadataBowlingType,metadataBowlingHand,metadataBowlingStyle,hasCricsheetRegisterMatch,cricsheetId
1124282,Josh Philippe,Joshua Ryan Philippe,Australia,batsman,right,,,,yes,Josh Philippe,Australia,,,,yes,39086549
272262,Kane Richardson,Kane William Richardson,Australia,bowler,right,pace,right,Right-arm fast-medium,yes,Kane Richardson,Australia,pace,right,Right-arm fast-medium,yes,dfc4d8b5
505110,Kurtis Patterson,Kurtis Robert Patterson,Australia,batsman,left,spin,right,Off Break,yes,Kurtis Patterson,Australia,spin,right,Right-arm offbreak,yes,e3bf8356
1125317,Lance Morris,Lance Richard Thomas Morris,Australia,bowler,right,pace,right,Right-arm fast,yes,Lance Morris,Australia,pace,right,Right-arm fast,yes,b08e58e2
1076376,Liam Scott,Liam Alexander Hamilton Scott,Australia,all-rounder,right,pace,right,Right-arm fast-medium,no,,,,,,yes,0ebb3444
1393948,Mahli Beardman,Mahli Beardman,Australia,bowler,right,pace,right,Right-arm fast-medium,yes,Mahli Beardman,Australia,pace,right,Right-arm fast-medium,yes,b5a12740
434813,Marcus Harris,Marcus Sinclair Harris,Australia,batsman,left,,,,yes,Marcus Harris,Australia,,,,yes,9e85455c
325012,Marcus Stoinis,Marcus Peter Stoinis,Australia,all-rounder,right,pace,right,Right-arm medium,yes,Marcus Stoinis,Australia,pace,right,Right-arm medium,yes,d9273ee7
787987,Marnus Labuschagne,Marnus Labuschagne,Australia,batsman,right,spin,right,Leg Break,yes,Marnus Labuschagne,Australia,pace,right,Right-arm medium-fast,yes,fa433be6
774219,Matthew Kuhnemann,Matthew Paul Kuhnemann,Australia,bowler,left,spin,left,Slow left-arm orthodox,yes,Matthew Kuhnemann,Australia,spin,left,Slow left-arm orthodox,yes,7b953689
