format,playerId,name,fullName,nationality,role,battingHand,hasCricsheetId,bowlingTypeFaced,runs,balls,outs,average,strikeRate,fours,sixes,boundaryRuns,boundaryRunPercent,dotBalls,dotBallPercent,deliveriesSeen,metadataBowlerDeliveries,playerJsonBowlerDeliveries,dismissalKinds
test,524050,Sayed Shirzad,Sayed Ahmad Shirzad,Afghanistan,bowler,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,1161050,Sediqullah Atal,Sediqullah Atal,Afghanistan,batsman,left,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,1161050,Sediqullah Atal,Sediqullah Atal,Afghanistan,batsman,left,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,633366,Shahidullah Kamal,Shahidullah Kamal,Afghanistan,bowler,left,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,633366,Shahidullah Kamal,Shahidullah Kamal,Afghanistan,bowler,left,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,633362,Sharafuddin Ashraf,Sharafuddin Ashraf,Afghanistan,all-rounder,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,633362,Sharafuddin Ashraf,Sharafuddin Ashraf,Afghanistan,all-rounder,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,711559,Usman Ghani,Usman Ghani,Afghanistan,batsman,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,711559,Usman Ghani,Usman Ghani,Afghanistan,batsman,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,973945,Wafadar Momand,Wafadar Momand,Afghanistan,bowler,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,973945,Wafadar Momand,Wafadar Momand,Afghanistan,bowler,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,1364157,Wafiullah Tarakhil,Wafiullah Tarakhil,Afghanistan,batsman,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,1364157,Wafiullah Tarakhil,Wafiullah Tarakhil,Afghanistan,batsman,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,712219,Zahir Pakteen,Zahir Khan Pakteen,Afghanistan,bowler,left,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,712219,Zahir Pakteen,Zahir Khan Pakteen,Afghanistan,bowler,left,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,633374,Zia-ur-Rehman Akbar,Zia-ur-Rehman Akbar,Afghanistan,bowler,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,633374,Zia-ur-Rehman Akbar,Zia-ur-Rehman Akbar,Afghanistan,bowler,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
