reason,name,deliveryCount
batter_not_in_player_json_output_list,JJ Smit,2277
batter_not_in_player_json_output_list,KJ Martin,2257
batter_not_in_player_json_output_list,M Morkel,2244
batter_not_in_player_json_output_list,Vikramjit Singh,2234
batter_not_in_player_json_output_list,N de Klerk,2223
batter_not_in_player_json_output_list,P Utseya,2208
batter_not_in_player_json_output_list,D Bishoo,2199
batter_not_in_player_json_output_list,MF Maharoof,2196
batter_not_in_player_json_output_list,AT Rayudu,2194
batter_not_in_player_json_output_list,S Matsikenyeri,2191
batter_not_in_player_json_output_list,BJ McMullen,2190
batter_not_in_player_json_output_list,Khurram Manzoor,2180
batter_not_in_player_json_output_list,BP Nash,2178
batter_not_in_player_json_output_list,Sana Mir,2157
batter_not_in_player_json_output_list,NRD Compton,2156
batter_not_in_player_json_output_list,CN Nation,2149
batter_not_in_player_json_output_list,KE Bryce,2142
batter_not_in_player_json_output_list,KH Prajapati,2136
batter_not_in_player_json_output_list,Chirag Suri,2126
batter_not_in_player_json_output_list,B de Leede,2115
batter_not_in_player_json_output_list,DG Brownlie,2106
batter_not_in_player_json_output_list,WA Duraisingam,2105
batter_not_in_player_json_output_list,B Kumar,2091
batter_not_in_player_json_output_list,K Ndlovu,2091
batter_not_in_player_json_output_list,RMVD Gunaratne,2088
batter_not_in_player_json_output_list,MA Leask,2087
batter_not_in_player_json_output_list,KH Brunt,2080
batter_not_in_player_json_output_list,SL Kalis,2080
batter_not_in_player_json_output_list,Mohammad Nadeem,2072
batter_not_in_player_json_output_list,Sami Aslam,2064
batter_not_in_player_json_output_list,AB Barath,2060
batter_not_in_player_json_output_list,Basil Hameed,2029
batter_not_in_player_json_output_list,SJ Bryce,2026
batter_not_in_player_json_output_list,Syed Aziz,2026
batter_not_in_player_json_output_list,DR Smith,2021
batter_not_in_player_json_output_list,Muhammad Usman,2019
batter_not_in_player_json_output_list,N Hussain,2017
batter_not_in_player_json_output_list,HASD Siriwardene,2007
batter_not_in_player_json_output_list,Kycia A Knight,2000
batter_not_in_player_json_output_list,KKN Egodage,1982
batter_not_in_player_json_output_list,ZE Green,1980
batter_not_in_player_json_output_list,HH Streak,1977
batter_not_in_player_json_output_list,CD McMillan,1976
batter_not_in_player_json_output_list,CS Mugeri-Tiripano,1964
batter_not_in_player_json_output_list,A Sharafu,1951
batter_not_in_player_json_output_list,WW Hinds,1942
batter_not_in_player_json_output_list,L Ronchi,1936
batter_not_in_player_json_output_list,JN Loftie-Eaton,1918
batter_not_in_player_json_output_list,MG Vandort,1915
batter_not_in_player_json_output_list,Yasmeen Khan,1915
batter_not_in_player_json_output_list,G Kirsten,1906
batter_not_in_player_json_output_list,Umar Gul,1901
batter_not_in_player_json_output_list,Murshida Khatun,1893
batter_not_in_player_json_output_list,S Mostary,1892
batter_not_in_player_json_output_list,M van Lingen,1892
batter_not_in_player_json_output_list,H Thaker,1880
batter_not_in_player_json_output_list,TG McIntosh,1870
batter_not_in_player_json_output_list,M Hill,1868
batter_not_in_player_json_output_list,L Goodall,1865
batter_not_in_player_json_output_list,JWA Taylor,1860
batter_not_in_player_json_output_list,W Barresi,1845
batter_not_in_player_json_output_list,KK Jennings,1842
batter_not_in_player_json_output_list,TMK Mawoyo,1831
batter_not_in_player_json_output_list,Ayan Khan,1825
batter_not_in_player_json_output_list,R Rijke,1823
batter_not_in_player_json_output_list,PA Patel,1813
batter_not_in_player_json_output_list,NT Miles,1811
batter_not_in_player_json_output_list,L Siaka,1804
batter_not_in_player_json_output_list,G Malla,1804
batter_not_in_player_json_output_list,CP Rizwan,1803
batter_not_in_player_json_output_list,H Deol,1802
batter_not_in_player_json_output_list,DAS Gunaratne,1789
batter_not_in_player_json_output_list,NS Dhaliwal,1786
batter_not_in_player_json_output_list,Kushal Malla,1779
batter_not_in_player_json_output_list,DS Lehmann,1770
batter_not_in_player_json_output_list,Umaima Sohail,1769
batter_not_in_player_json_output_list,Kyshona A Knight,1768
batter_not_in_player_json_output_list,MAA Sanjeewani,1763
bowler_not_in_metadata_or_player_json,Rahat Ali,1761
batter_not_in_player_json_output_list,Faisal Iqbal,1754
batter_not_in_player_json_output_list,EJ Villani,1743
batter_not_in_player_json_output_list,PA Jaques,1738
batter_not_in_player_json_output_list,Shaiman Anwar,1737
batter_not_in_player_json_output_list,Mas Elysa,1722
batter_not_in_player_json_output_list,A Bosch,1719
batter_not_in_player_json_output_list,Wahab Riaz,1716
batter_not_in_player_json_output_list,Saeed Ajmal,1715
batter_not_in_player_json_output_list,ARS Silva,1713
bowler_not_in_metadata_or_player_json,ZGF Foulkes,1711
batter_not_in_player_json_output_list,MS Sinclair,1702
batter_not_in_player_json_output_list,AF Giles,1697
batter_not_in_player_json_output_list,N Wagner,1693
batter_not_in_player_json_output_list,Pratika Rawal,1692
batter_not_in_player_json_output_list,HJH Marshall,1689
batter_not_in_player_json_output_list,S Sesazi,1676
batter_not_in_player_json_output_list,CA Henry,1675
batter_not_in_player_json_output_list,Pargat Singh,1675
batter_not_in_player_json_output_list,MD Bimenyimana,1670
batter_not_in_player_json_output_list,AJ Hall,1666
batter_not_in_player_json_output_list,A Sharma,1653
batter_not_in_player_json_output_list,WK Dilhari,1652
batter_not_in_player_json_output_list,KD Mills,1643
batter_not_in_player_json_output_list,JM Kemp,1636
batter_not_in_player_json_output_list,MADD Surangika,1632
batter_not_in_player_json_output_list,MA Butcher,1629
batter_not_in_player_json_output_list,D Ndikubwimana,1621
batter_not_in_player_json_output_list,Nain Abidi,1609
batter_not_in_player_json_output_list,C Kieswetter,1604
batter_not_in_player_json_output_list,Sohail Ahmed,1602
batter_not_in_player_json_output_list,B Sharki,1584
batter_not_in_player_json_output_list,NL McCullum,1557
batter_not_in_player_json_output_list,Shoaib Khan,1554
batter_not_in_player_json_output_list,RR Patel,1554
batter_not_in_player_json_output_list,DD Ebrahim,1545
batter_not_in_player_json_output_list,MA Vermeulen,1545
batter_not_in_player_json_output_list,RP Arnold,1545
batter_not_in_player_json_output_list,I Nakisuuyi,1541
batter_not_in_player_json_output_list,L Winfield,1539
batter_not_in_player_json_output_list,Khawar Ali,1536
batter_not_in_player_json_output_list,JR Hopes,1536
batter_not_in_player_json_output_list,Milind Kumar,1535
batter_not_in_player_json_output_list,Fatima Sana,1533
batter_not_in_player_json_output_list,SJ Modani,1531
batter_not_in_player_json_output_list,F Behardien,1530
batter_not_in_player_json_output_list,G Singh,1526
batter_not_in_player_json_output_list,JE Taylor,1524
batter_not_in_player_json_output_list,GA Priandana,1522
batter_not_in_player_json_output_list,AD Russell,1520
batter_not_in_player_json_output_list,N Boochatham,1520
batter_not_in_player_json_output_list,HMD Rasangika,1520
batter_not_in_player_json_output_list,JL Jonassen,1517
batter_not_in_player_json_output_list,Gulsan Jha,1510
batter_not_in_player_json_output_list,GE Plimmer,1508
batter_not_in_player_json_output_list,Mohammad Rafique,1506
batter_not_in_player_json_output_list,CS Baugh,1505
batter_not_in_player_json_output_list,HD Rutherford,1503
batter_not_in_player_json_output_list,Ahmed Faiz,1498
batter_not_in_player_json_output_list,J Mbabazi,1497
batter_not_in_player_json_output_list,JL Gunn,1496
bowler_not_in_metadata_or_player_json,Shahid Afridi,1489
batter_not_in_player_json_output_list,A Capsey,1484
batter_not_in_player_json_output_list,L Mophakedi,1473
batter_not_in_player_json_output_list,NR Kirton,1462
batter_not_in_player_json_output_list,YH Bhatia,1461
batter_not_in_player_json_output_list,I Barma,1458
batter_not_in_player_json_output_list,N Vanua,1451
bowler_not_in_metadata_or_player_json,A Mishra,1442
batter_not_in_player_json_output_list,C Sutthiruang,1437
batter_not_in_player_json_output_list,Adnan Akmal,1435
batter_not_in_player_json_output_list,Y Daswani,1431
batter_not_in_player_json_output_list,Rameez Shahzad,1430
batter_not_in_player_json_output_list,SM Warnapura,1428
batter_not_in_player_json_output_list,ME Bouchier,1426
batter_not_in_player_json_output_list,Ritu Moni,1426
batter_not_in_player_json_output_list,R Musamali,1423
batter_not_in_player_json_output_list,JP Kotze,1422
batter_not_in_player_json_output_list,J Mubarak,1421
batter_not_in_player_json_output_list,N Vare,1416
batter_not_in_player_json_output_list,B Tau,1416
batter_not_in_player_json_output_list,KY Chan,1410
batter_not_in_player_json_output_list,KM Jadhav,1409
batter_not_in_player_json_output_list,SC Cook,1403
batter_not_in_player_json_output_list,SL Malinga,1403
batter_not_in_player_json_output_list,A Brindle,1401
batter_not_in_player_json_output_list,KA Green,1399
batter_not_in_player_json_output_list,Shamima Sultana,1392
batter_not_in_player_json_output_list,IA Karim,1390
batter_not_in_player_json_output_list,SA Wittmann,1388
batter_not_in_player_json_output_list,P Kurup,1387
batter_not_in_player_json_output_list,PM Weerakkody,1385
batter_not_in_player_json_output_list,MRJ Watt,1383
batter_not_in_player_json_output_list,LA Marsh,1382
batter_not_in_player_json_output_list,Ayesha Zafar,1380
batter_not_in_player_json_output_list,Rumana Ahmed,1377
batter_not_in_player_json_output_list,R Stokell,1376
batter_not_in_player_json_output_list,Karanbir Singh,1357
batter_not_in_player_json_output_list,LJ Wright,1353
batter_not_in_player_json_output_list,A Dercksen,1352
batter_not_in_player_json_output_list,KJ Garth,1350
batter_not_in_player_json_output_list,S Ecclestone,1349
batter_not_in_player_json_output_list,IJR Zwilling,1336
batter_not_in_player_json_output_list,Sulaimon Runsewe,1335
batter_not_in_player_json_output_list,SC Taylor,1334
