format,playerId,name,fullName,nationality,role,battingHand,hasCricsheetId,paceRuns,paceBalls,paceOuts,paceAverage,paceStrikeRate,paceFours,paceSixes,paceMetadataBowlerDeliveries,pacePlayerJsonBowlerDeliveries,spinRuns,spinBalls,spinOuts,spinAverage,spinStrikeRate,spinFours,spinSixes,spinMetadataBowlerDeliveries,spinPlayerJsonBowlerDeliveries
test,793447,Naveen-ul-Haq Murid,Naveen-ul-Haq Murid,Afghanistan,bowler,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,913843,Nijat Masood,Nijat Masood,Afghanistan,bowler,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,1182529,Noor Lakanwal,Noor Ahmad Lakanwal,Afghanistan,bowler,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,318340,Noor Zadran,Noor Ali Zadran,Afghanistan,batsman,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,914171,Qais Kamawal,Qais Ahmad Kamawal,Afghanistan,bowler,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,974087,Rahmanullah Gurbaz,Rahmanullah Gurbaz,Afghanistan,wicketkeeper-batsman,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,533956,Rahmat Zurmatai,Rahmat Shah Zurmatai,Afghanistan,all-rounder,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,793463,Rashid Khan,Rashid Khan,Afghanistan,bowler,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,1061090,Riaz Hassan,Riaz Hassan,Afghanistan,batsman,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,976571,Said Mehboob,Said Bahir Shah Mehboob,Afghanistan,bowler,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,318339,Samiullah Shinwari,Samiullah Shinwari,Afghanistan,all-rounder,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,524050,Sayed Shirzad,Sayed Ahmad Shirzad,Afghanistan,bowler,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,1161050,Sediqullah Atal,Sediqullah Atal,Afghanistan,batsman,left,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,633366,Shahidullah Kamal,Shahidullah Kamal,Afghanistan,bowler,left,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,633362,Sharafuddin Ashraf,Sharafuddin Ashraf,Afghanistan,all-rounder,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,711559,Usman Ghani,Usman Ghani,Afghanistan,batsman,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,973945,Wafadar Momand,Wafadar Momand,Afghanistan,bowler,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,1364157,Wafiullah Tarakhil,Wafiullah Tarakhil,Afghanistan,batsman,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,712219,Zahir Pakteen,Zahir Khan Pakteen,Afghanistan,bowler,left,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,633374,Zia-ur-Rehman Akbar,Zia-ur-Rehman Akbar,Afghanistan,bowler,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,1015437,Zubairullah Akbari,Zubairullah Akbari,Afghanistan,bowler,left,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,1124283,Aaron Hardie,Aaron Mark Hardie,Australia,bowler,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,379504,Adam Zampa,Adam Zampa,Australia,bowler,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,326434,Alex Carey,Alex Tyson Carey,Australia,wicketkeeper-batsman,left,yes,1553,2395,42,36.98,64.84,184,5,2246,178,696,998,22,31.64,69.74,58,10,918,81
test,505120,Ashton Agar,Ashton Charles Agar,Australia,all-rounder,left,yes,107,147,3,35.67,72.79,18,0,148,0,88,204,2,44.0,43.14,6,3,162,42
test,500268,Ashton Turner,Ashton James Turner,Australia,bowler,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,381329,Beau Webster,Beau Jacob Webster,Australia,all-rounder,right,yes,333,519,9,37.0,64.16,42,0,420,104,119,210,2,59.5,56.67,9,1,210,0
test,679567,Ben Dwarshuis,Benjamin James Dwarshuis,Australia,bowler,left,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,603410,Ben McDermott,Benjamin Reginald McDermott,Australia,batsman,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,533042,Billy Stanlake,Billy James Stanlake,Australia,bowler,left,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,931603,Brendan Doggett,Brendan James Doggett,Australia,bowler,right,yes,11,38,0,,28.95,0,0,38,0,9,13,1,9.0,69.23,1,0,13,0
test,501011,Cameron Bancroft,Cameron Timothy Bancroft,Australia,batsman,right,yes,311,850,12,25.92,36.59,43,0,851,0,72,107,3,24.0,67.29,8,1,107,0
test,1076713,Cameron Green,Cameron Green,Australia,all-rounder,right,yes,1215,2340,39,31.15,51.92,160,10,2208,159,496,1053,14,35.43,47.1,36,4,962,93
test,787073,Chris Green,Christopher James Green,Australia,bowler,right,yes,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0
test,1210488,Cooper Connolly,Cooper Connolly,Australia,all-rounder,left,yes,0,0,0,,,0,0,0,0,4,6,1,4.0,66.67,1,0,6,0
